"Kx"	"Ky"	"tl"	"br"	"beadl"	"beadr"
"0.112488936296454"	"0.032343727040354"	"8"	"1269"	"12"	"45"
"0.000185341128068"	"0.000000203211159598641"	"141"	"175"	"61"	"94"
"-0.0000003249462015057"	"0.000184995869057"			"113"	"146"
"0.000000000176096755400819"	"0.00000000015241449733866"			"165"	"198"
"0.00000000139737855848255"	"0.0000000000261466244208787"			"215"	"248"
"0.00000000024887567630585"	"0.0000000021347334333436"			"264"	"297"
"0.00000000000169254097149351"	"-0.000000000000162754236225516"			"313"	"346"
"0.000000000000107090106066004"	"0.00000000000131737083367169"			"362"	"395"
"0.00000000000157659011943716"	"-0.00000000000227585806833922"			"415"	"448"
"0.00000000000225175709713543"	"0.00000000000590071360817664"			"462"	"495"
				"512"	"545"
				"563"	"596"
				"612"	"645"
				"662"	"695"
				"714"	"747"
				"764"	"797"
				"816"	"849"
				"867"	"900"
				"918"	"951"
				"969"	"1002"
				"1018"	"1051"
				"1069"	"1102"
				"1119"	"1152"
				"1166"	"1199"
				"1218"	"1251"
