"Kx"	"Ky"	"tl"	"br"	"beadl"	"beadr"
"0.031264981396501"	"0.009880369185578"	"38"	"1266"	"62"	"162"
"0.00005188226217519"	"0.000000153346247164284"	"60"	"118"	"235"	"335"
"0.0000000597458726605679"	"0.000051841599981377"			"399"	"499"
"0.0000000000418762797315958"	"-0.000000000323850015473539"			"576"	"676"
"0.000000000249415996476553"	"0.0000000000805517344188264"			"765"	"865"
"0.000000000254940913939902"	"-0.000000000307615648733384"			"934"	"1034"
"0.000000000000184405474183667"	"-0.000000000000770025817163137"			"1113"	"1213"
"-0.000000000000286191936976013"	"0.000000000000445844730157154"				
"-0.000000000000865737752681726"	"-0.00000000000220428001923709"				
"0.00000000000143957165855923"	"-0.00000000000853362969923219"				
