"Kx"	"Ky"	"tl"	"br"	"beadl"	"beadr"
"0.111761876756212"	"0.06968565369046"	2	1276	56	90
"0.000183923447827"	"0.000000162752387152592"	126	164	107	141
"0.0000000601799214589983"	"0.000184117568657"			159	193
"0.000000000562842065022908"	"0.000000000104166952658856"			210	244
"0.000000000477074205434728"	"0.000000000405543295012272"			259	293
"0.000000000103525852572977"	"0.000000000522388285265036"			308	342
"0.00000000000150003226429034"	"0.00000000000010843455675764"			358	392
"-0.000000000000601506590760366"	"0.00000000000152366256741338"			410	444
"0.00000000000128799713240801"	"-0.000000000000233731704500049"			459	493
"-0.000000000000218082058534056"	"0.00000000000113130021006479"			510	544
				560	594
				612	646
				662	696
				713	747
				764	798
				817	851
				867	901
				918	952
				971	1005
				1020	1054
				1071	1105
				1121	1155
				1170	1204
				1219	1253
